Supporting Information for

Toward new solvents for EDLCs: From computational
screening to electrochemical validation

C. Schiitter,* T. Husch®, M. Korth>*, A. Balducci*:<*

@ University of Minster, MEET Battery Research Centre and Institute of Physical Chemistry, Corrensstr. 28/30, 48149 Minster (D)
> Ulm University, Institute for Theoretical Chemistry, Albert-Einstein-Allee 11, 89081 Ulm (D)
© Helmholtz Institute Ulm, Karlsruhe Institute of Technology, Helmholtzstrae 11, 89081 Ulm (D)

* Corresponding author e-mail: andrea.balducci@uni-muenster.de, martin.korth@uni-ulm.de

Contents:
1. SQM data set
2. DFT data set

1. SQM data set

ID HOMO/eV LUMO/eV n/cP Tb/K Tf/K Tm/K DeltaGsolv-Li-kcal/mol DeltaGsolv-pf6-kcal/mol
N1C1017 -11.032 1.024 2.15566 538.368 362.802 -29.2 -122.33568 -48.37440
N1C10180 -10.803 1.030 1.15451 495.355 332.527 -10.6 -122.92888 -48.33922
N1C10181 -10.741 1.046 1.14200 495.409 332.385 -15.6 -122.92665 -48.24023
N1010182 -10.938 1.100 1.13942 498.170 333.492 -12.3 -123.62459 -48.22523
N1010183 -10.900 1.054 1.14278 497.974 333.759 -13.0 -122.92262 -48.31257
N1010184 -10.810 1.046 1.22950 501.440 336.543 -16.8 -122.75334 -48.20370
N1010185 -11.132 1.085 1.19172 501.651 335.978 -15.3 -123.47421 -48.10512
N1010186 -11.004 1.041 1.25070 502.629 337.316 -19.7 -123.08752 -48.19019
N1010187 -10.787 1.114 1.22082 498.713 334.376 -10.0 -123.95108 -48.60072
N1C10188 -10.697 1.039 1.30298 503.633 338.327 -9.4 -123.13122 -48.55419
N1C10189 -10.785 1.108 1.27609 502.243 336.996 -16.1 -123.72102 -48.55106
N1C1018 -11.188 1.013 1.23281 501.600 336.883 -8.3 -122.43836 -47.98965
N1C10190 -10.841 1.079 1.25966 504.698 338.370 -15.4 -123.34420 -48.44649
N1C10191 -10.743 1.038 1.34081 505.311 339.470 -13.1 -123.11213 -48.47869
N1010192 -10.877 1.083 1.13940 501.802 335.743 -9.8 -123.41476 -48.14378
N1C10193 -10.776 1.029 1.13136 499.015 334.376 -17.4 -122.76115 -48.18270
N1010194 -10.760 1.088 1.09671 496.156 332.230 1.3 -123.29702 -48.28096
N1C10195 -10.955 1.086 0.98356 487.944 326.438 1.1 -123.28195 -48.17235
N1010196 -11.003 1.074 1.05133 494.879 331.019 1.4 -123.20574 -48.24046
N1010197 -11.078 1.063 1.11522 501.148 335.197 -2.0 -123.11304 -48.12408
N1C10198 -10.913 1.056 0.99822 490.413 328.100 0.1 -123.07124 -48.25081
N1C10199 -10.875 1.073 1.09014 493.918 330.965 -1.4 -123.13601 -48.22879
N1C1019 -11.203 1.020 1.26094 504.682 338.818 -6.0 -122.48258 -48.02565
N1C101 -10.945 0.998 1.98202 527.707 356.245 -10.4 -122.23726 -48.30975
N1C10200 -10.999 1.064 1.07029 491.283 329.346 -5.3 -122.85697 -48.09022
N1C10201 -10.908 1.081 1.05809 495.172 331.385 -8.2 -122.94762 -48.16214
N1010202 -11.055 1.043 1.22252 503.799 337.875 -4.4 -122.65234 -48.05327
N1C10203 -10.789 1.114 1.22107 498.141 334.130 0.5 -123.99414 -48.68264
N1010204 -10.665 1.135 1.12649 495.990 332.057 2.1 -124.08261 -48.61752
N1C10205 -10.639 1.028 1.30989 499.858 336.317 -2.6 -122.94634 -48.53171
N1C10206 -10.844 1.073 1.24164 502.647 336.883 -5.0 -123.56431 -48.45524
N1C10207 -10.953 1.114 0.97284 488.818 326.714 2.8 -123.68323 -48.23921
N1C10208 -10.908 1.081 0.98749 488.598 326.862 5.6 -123.38292 -48.30893
N1C10209 -10.916 1.081 1.00361 489.282 327.237 -3.0 -123.20003 -48.34206
N1C1020 -11.241 1.007 1.30684 502.750 338.192 -18.7 -122.25964 -47.98775
N1C10210 -10.830 1.095 1.05089 491.797 329.096 4.4 -123.69256 -48.48975
N1010211 -10.947 1.124 1.01261 493.954 329.486 -6.0 -124.15548 -48.29390
N1010212 -10.860 1.071 2.71335 568.070 372.675 3.0 -122.98964 -48.61320
N1010213 -10.634 1.010 2.56244 557.029 367.593 -8.4 -122.77087 -48.55107
N1010214 -11.021 0.996 3.02421 565.908 375.038 -13.6 -122.43988 -48.52110
N1010215 -11.239 1.006 2.05663 546.745 360.546 8.6 -122.70355 -48.18922
N1010216 -11.003 1.057 1.93745 548.852 359.856 10.4 -123.14011 -48.22289
N1C10217 -11.009 1.069 2.02471 553.640 361.529 17.5 -123.35738 -48.25720
N1010218 -11.103 1.115 2.27571 550.274 363.281 9.4 -123.65649 -48.62323
N1010219 -10.738 1.056 2.18739 549.805 361.415 7.3 -123.57418 -48.63293
N101021 -11.177 1.004 1.39051 509.942 342.814 -19.9 -122.17549 -48.00263
N1C10220 -10.888 1.074 2.39955 558.532 365.681 9.4 -123.80712 -48.66285
N1C10221 -10.959 1.011 2.24340 544.622 360.546 7.9 -122.83707 -48.55284
N1010222 -10.617 1.016 2.44374 554.788 365.810 7.3 -122.90319 -48.57110
N1010223 -10.881 1.014 2.39692 549.712 363.955 4.5 -122.80560 -48.55626
N1010224 -11.167 1.018 2.17689 550.816 363.228 0.2 -123.11723 -48.33333
N1010225 -10.877 1.037 2.08319 545.967 359.221 6.0 -122.94879 -48.20165
N1010226 -11.170 0.978 2.14334 542.934 358.898 5.7 -122.54392 -48.22444
N1010227 -11.065 1.040 2.10391 547.590 358.779 12.5 -123.20180 -48.32941
N1010228 -10.751 1.021 2.07127 544.856 358.429 7.1 -123.09020 -48.32080
N1010229 -10.852 1.017 2.12016 548.511 359.489 4.4 -123.15572 -48.36609
N101022 -11.145 1.019 1.56746 523.199 351.376 -28.4 -122.16440 -48.02014
N1C10230 -10.911 0.970 2.36962 552.499 365.428 -1.3 -122.50761 -48.30915
N1C10231 -10.874 0.969 2.35785 547.320 361.556 3.6 -122.47422 -48.24454
N1010232 -11.028 0.991 2.36580 550.444 361.817 7.6 -122.73165 -48.28688
N1010233 -11.112 0.997 2.18714 554.524 365.428 -6.5 -122.68279 -48.25604
N1C10234 -10.843 0.964 2.38247 545.669 360.676 0.3 -122.43536 -48.20011
N1C10235 -10.892 0.988 2.37769 550.437 361.945 5.3 -122.66836 -48.30764
N1010236 -10.752 0.990 2.27595 548.098 361.610 -7.0 -122.52902 -48.28166
N1C10237 -11.070 0.998 2.42020 554.901 366.922 -14.3 -122.51114 -48.31579
N1010238 -10.996 1.017 2.24915 546.010 361.127 4.0 -123.10692 -48.37150
N1C10239 -10.757 1.032 2.31674 552.715 363.849 9.8 -123.25251 -48.57257
N1C1023 -10.972 1.103 1.34940 507.589 340.482 -7.7 -123.54537 -48.53040
N1010240 -11.110 1.036 2.41069 556.156 366.968 8.6 -123.06743 -48.65152
N1010241 -10.852 1.046 2.56187 561.650 368.230 10.1 -123.24480 -48.75641
N1010242 -10.650 1.024 2.57774 558.032 367.927 3.2 -123.03623 -48.54926
N1010243 -10.619 1.009 2.26662 544.498 360.449 3.0 -122.83629 -48.59942
N1010244 -10.593 1.005 2.45513 551.750 364.238 4.3 -122.77124 -48.57111
N1010245 -10.979 1.030 2.56597 561.620 370.854 -1.1 -122.74385 -48.65249
N1010246 -10.832 1.002 2.52599 553.743 366.789 -1.7 -122.61534 -48.49197
N1010247 -11.028 1.012 2.66398 556.668 368.678 3.1 -122.72881 -48.46599
N1010248 -10.764 1.048 2.68222 565.745 372.376 7.3 -123.03428 -48.62715
N1010249 -10.854 1.011 2.59788 561.030 368.222 5.9 -123.08008 -48.58249
N101024 -11.037 1.032 1.47345 516.936 346.761 -20.3 -123.02117 -48.38451
N1C10250 -10.680 1.030 2.30515 553.837 364.445 2.6 -123.22422 -48.60186
N1C10251 -10.906 1.012 2.71918 565.785 371.318 4.6 -123.02260 -48.60240
N1010252 -10.990 1.019 2.68578 562.474 371.717 -8.6 -122.86885 -48.62727
N1C10253 -10.930 1.007 2.50238 552.103 365.819 3.5 -122.74875 -48.49885
N1010254 -10.693 1.001 2.75428 559.425 369.580 0.9 -122.62671 -48.52123
N1010255 -10.909 1.042 2.53075 557.886 368.743 -4.1 -122.88131 -48.59658
N1C10256 -10.666 1.029 2.68295 564.243 371.636 -2.0 -122.71470 -48.59641
N1010257 -11.161 1.029 1.70301 532.794 350.875 17.5 -123.13322 -48.24807
N1010258 -11.193 1.011 1.70236 533.908 351.482 15.8 -122.97724 -48.15052
N1010259 -11.240 1.028 1.76330 533.958 351.614 12.1 -123.11459 -48.25655
N1C1025 -11.071 1.050 1.52450 519.042 348.229 -18.4 -123.05954 -48.46666
N1C10260 -10.877 1.069 1.69182 538.456 352.637 13.0 -123.41217 -48.31086
N1C10261 -10.909 1.038 1.72210 530.214 348.554 9.8 -123.10928 -48.26870
N1010262 -11.121 1.068 1.65404 530.693 349.321 10.7 -123.22969 -48.27298
N1C10263 -10.926 1.065 1.76810 539.876 353.912 10.3 -123.40963 -48.26952
N1010264 -11.093 1.026 1.77328 532.513 351.082 2.3 -122.75084 -48.32056
N1010265 -11.122 1.042 1.89431 543.471 355.257 18.3 -123.17564 -48.29461
N1C10266 -10.844 1.038 1.91185 544.910 357.744 0.9 -122.81197 -48.27637
N1010267 -11.135 1.015 1.90426 542.245 357.351 17.3 -122.83132 -48.16511
N1010268 -11.204 1.021 1.85718 537.951 354.696 15.1 -122.84125 -48.14392
N1C10269 -10.898 1.010 1.84845 534.771 351.889 14.3 -122.73056 -48.19515
N1C1026 -11.026 1.060 1.54525 520.656 349.321 -29.8 -123.16516 -48.36586
NC10270 -11.194 1.050 1.77216 534.872 352.196 6.7 -123.10831 -48.24023
NC10271 -10.905 1.074 1.90120 546.875 358.449 11.8 -123.32133 -48.26908
NC10272 -11.062 1.008 2.05190 545.073 359.759 12.6 -122.66769 -48.16447
NC10273 -10.861 1.021 1.93013 539.304 354.792 7.0 -122.70150 -48.20083
N1010274 -10.922 1.046 2.04385 554.717 362.303 15.3 -123.12874 -48.25683
N1C10275 -10.839 1.022 1.99695 543.091 357.262 8.1 -122.75447 -48.21361
N1C10276 -10.793 1.031 2.06207 544.541 356.953 15.3 -122.85091 -48.27607
N1010277 -11.076 1.044 1.85029 541.512 356.542 3.9 -122.57165 -48.29343
N1010278 -11.082 1.030 1.73612 536.005 352.711 18.0 -123.41190 -48.49438
NC10279 -10.975 1.019 1.75021 532.961 351.208 9.1 -123.10352 -48.42480
N1C1027 -10.817 1.016 1.41189 503.398 339.204 -5.1 -122.73016 -48.47900
N1010280 -10.874 1.027 1.67020 531.751 350.040 12.2 -123.62281 -48.33887
N1010281 -10.997 1.053 1.75306 532.466 350.768 9.7 -123.56246 -48.49012
N1010282 -10.902 1.042 1.78629 538.865 353.503 10.1 -123.44082 -48.34362
N1C10283 -10.796 1.033 1.90195 541.608 355.728 7.1 -123.22722 -48.46544
N1010284 -11.047 1.043 1.98793 544.788 356.379 12.7 -123.62986 -48.41811
N1010285 -10.919 0.943 1.88406 529.714 350.675 17.4 -122.51843 -48.29166
N1C10286 -10.964 0.951 2.04067 537.699 355.800 10.9 -122.46091 -48.31469
N1010287 -10.817 0.984 1.98934 537.830 354.458 9.0 -122.76735 -48.31350
N1010288 -11.031 1.032 1.92435 536.235 354.222 2.5 -122.86125 -48.28200
N1C10289 -10.787 0.999 2.06215 540.617 356.199 8.0 -122.83271 -48.41309
N101028 -10.914 1.014 1.47985 507.677 341.990 -18.4 -122.68758 -48.40357
N1C10290 -10.969 0.997 2.10918 545.694 357.892 15.9 -122.89453 -48.32547
NC10291 -10.925 0.988 2.18053 545.196 357.980 13.3 -122.74657 -48.35255
N1010292 -10.836 1.063 1.98380 540.587 356.526 14.4 -123.43046 -48.65850
N1010293 -11.017 1.081 1.92943 539.450 355.526 7.5 -123.80611 -48.56959
N1010294 -10.942 1.056 2.01899 544.445 358.779 11.7 -123.39169 -48.55379
NC10295 -10.705 1.027 2.09508 554.323 363.485 9.9 -123.28293 -48.65890
N1C10296 -10.989 1.060 2.09391 548.371 361.205 0.1 -123.43351 -48.69976
N1010297 -11.022 1.026 1.96095 537.927 355.302 11.1 -123.24827 -48.43157
N1C10298 -10.981 1.028 2.17617 546.274 360.832 6.6 -123.13081 -48.61294
NC10299 -10.677 1.023 2.15667 544.833 360.054 7.3 -123.01257 -48.58171
N101029 -10.813 1.008 1.53196 511.931 344.807 -17.6 -122.56479 -48.42232
N10102 -11.187 0.982 1.69181 516.973 348.722 -42.0 -122.13987 -48.09350
N1C10300 -10.648 1.091 2.12894 547.378 359.779 6.5 -123.62530 -48.73830
N1C10301 -10.830 1.034 2.24719 550.977 363.688 6.7 -122.89248 -48.61909
N1C10302 -10.987 1.043 2.06178 544.109 358.938 13.6 -123.41985 -48.46502
N1C10303 -10.976 1.044 2.35806 551.377 364.400 12.3 -123.17046 -48.53950
N1010304 -10.774 1.048 2.34701 558.185 366.718 10.1 -123.39331 -48.63450
N1C10305 -10.746 1.060 2.22095 553.156 363.261 8.8 -123.62843 -48.54225
N1C10306 -10.906 1.014 2.26031 545.636 361.035 13.3 -122.90437 -48.51520
N1C10307 -10.917 1.066 2.27654 547.123 361.833 11.3 -123.13440 -48.58672
N1C10308 -10.708 1.016 2.40766 555.683 365.879 12.4 -122.99927 -48.56276
N1C10309 -10.625 1.053 2.36485 554.063 364.691 9.4 -123.14990 -48.63544
N1C1030 -11.006 1.015 1.63406 516.707 347.976 -28.3 -122.65771 -48.31992
N1C10310 -11.016 1.001 2.44146 549.093 363.928 13.2 -122.66633 -48.41862
NC10311 -11.237 1.002 1.90629 541.416 356.792 13.4 -123.17209 -48.23072
N1010312 -11.193 0.928 2.09282 542.415 358.568 11.4 -122.62199 -48.13532
N1C10313 -10.794 1.068 1.88578 540.939 355.149 14.6 -123.77704 -48.22433
N1C10314 -11.160 1.029 1.94998 537.876 354.831 1.8 -123.09282 -48.33987
N1010315 -10.974 1.109 2.06147 551.382 360.140 16.9 -124.09841 -48.48489
N1C10316 -11.020 0.940 1.93642 533.394 352.857 18.3 -122.54477 -48.30122
N1C10317 -11.087 0.943 1.99661 538.122 355.761 11.5 -122.58803 -48.21586
N1C10318 -11.049 0.948 2.01345 538.293 355.894 10.0 -122.60582 -48.33534
N1C10319 -10.749 0.974 1.96565 536.650 353.428 14.4 -122.73912 -48.28085
N1C1031 -10.961 1.007 1.66857 516.712 348.293 -29.4 -122.52730 -48.35882
NC10320 -11.077 1.017 1.82390 533.485 352.074 9.6 -123.05459 -48.19400
NC10321 -10.910 1.028 1.86949 538.016 353.756 9.1 -122.91752 -48.22194
N1010322 -11.017 0.949 1.99436 536.954 355.149 12.4 -122.65802 -48.21503
N1C10323 -10.825 0.996 1.95800 537.471 353.912 16.7 -123.00607 -48.39518
N1010324 -10.795 1.081 1.97636 543.318 355.356 23.2 -123.58883 -48.47898
N1010325 -11.094 0.940 2.02143 537.988 355.894 19.5 -122.58345 -48.22483
N1010326 -11.102 0.935 2.03214 537.999 355.931 15.3 -122.52800 -48.23280
N1010327 -10.948 1.028 2.02560 543.186 357.448 16.5 -122.93032 -48.21209
N1C10328 -10.900 0.962 2.15662 544.287 358.779 16.8 -122.54824 -48.22193
NC10329 -11.095 1.004 1.99645 540.099 356.712 9.8 -122.84160 -48.14654
N1C1032 -10.876 1.002 1.68483 517.056 348.722 -25.4 -122.42745 -48.33824
N1C10330 -11.111 1.026 1.95426 541.827 357.165 5.9 -123.25002 -48.32748
N1C10331 -11.094 0.934 2.17172 542.991 359.406 14.3 -122.51207 -48.13200
N1C10332 -10.852 0.983 2.09193 543.674 358.076 15.3 -122.84647 -48.20185
N1C10333 -10.877 1.019 2.22053 548.827 360.054 22.3 -123.08997 -48.29339
N1C10334 -10.873 0.992 2.06046 541.692 356.862 15.6 -122.84974 -48.23372
N1C10335 -10.828 0.994 2.13307 546.819 358.513 18.6 -122.97592 -48.34518
N1C10336 -10.961 1.005 2.17220 547.878 359.314 20.0 -122.99552 -48.30633
N1C10337 -11.064 0.992 1.94014 532.584 352.375 6.9 -122.68921 -48.26778
N1C10338 -10.742 1.003 1.95498 541.443 356.180 7.5 -122.87185 -48.31085
N1C10339 -11.103 1.014 2.06490 547.667 360.943 1.5 -122.85959 -48.40853
N1C1033 -10.960 0.996 1.90661 524.053 353.756 -25.9 -122.29106 -48.30618
N1C10340 -11.045 0.985 2.13707 542.101 358.568 5.5 -122.51151 -48.23888
N1C10341 -10.795 0.989 2.18062 547.675 360.736 8.2 -122.67376 -48.25639
N1010342 -10.776 0.993 2.20659 547.922 361.035 -3.1 -122.64075 -48.36118
N1C10343 -10.897 0.957 1.96726 533.335 353.009 14.6 -122.54708 -48.33718
N1C10344 -10.963 0.973 2.04846 536.415 355.088 14.1 -122.62657 -48.31644
N1C10345 -10.844 0.944 2.02227 534.227 353.831 9.5 -122.45849 -48.33572
N1C10346 -10.678 0.962 2.09343 535.024 353.413 16.1 -122.51804 -48.31836
N1010347 -10.694 0.975 1.96377 533.466 351.889 7.9 -122.69118 -48.33148
N1C10348 -10.674 0.996 2.10623 540.257 356.115 15.9 -122.81564 -48.42344
N1C10349 -10.837 0.984 2.21245 544.491 357.939 21.5 -122.73719 -48.27452
N101034 -11.120 1.051 1.30988 506.794 339.994 -24.0 -123.01654 -48.13733
N1C10350 -10.834 0.969 2.16541 539.774 356.487 3.4 -122.53901 -48.28463
N1C10351 -10.798 1.042 2.22988 553.012 362.270 15.6 -123.24004 -48.51024
N1C10352 -10.921 0.965 2.27860 543.298 358.921 21.5 -122.44880 -48.26256
N1C10353 -11.024 0.971 2.24633 545.333 360.885 10.4 -122.54540 -48.32509
N1C10354 -10.999 0.992 2.24932 548.963 360.385 18.3 -122.80153 -48.28417
N1C10355 -11.011 0.978 2.35699 548.106 360.449 21.9 -122.61280 -48.29371
N1C10356 -10.927 0.990 1.96317 543.819 358.682 5.5 -122.63379 -48.23826
N1C10357 -11.003 0.989 2.17587 550.942 363.811 6.9 -122.50554 -48.20790
N1C10358 -10.998 1.001 2.26351 547.233 361.923 13.4 -122.73705 -48.44390
N1C10359 -10.685 1.021 2.26876 552.597 363.601 9.6 -123.08946 -48.58534
N1C1035 -11.161 0.991 1.38017 507.651 341.242 -24.5 -122.58902 -48.08195
N1C10360 -10.837 1.020 2.12073 540.634 357.521 12.8 -123.04966 -48.52202
N1C10361 -10.967 1.008 2.26020 543.036 359.513 8.4 -122.90528 -48.46343
N1C10362 -10.944 1.019 2.16721 543.481 359.328 6.1 -123.09070 -48.47751
N1C10363 -10.761 1.020 2.25898 545.620 361.108 5.5 -122.92372 -48.53212
N1C10364 -10.970 1.024 2.28941 546.821 361.817 13.3 -122.95078 -48.49250
N1C10365 -10.549 1.064 2.23213 550.885 362.227 14.9 -123.46868 -48.63723
N1C10366 -10.880 1.004 2.37821 546.687 362.392 7.8 -122.68921 -48.44908
N1C10367 -11.021 1.009 2.49901 550.321 364.611 17.1 -122.78551 -48.45248
N1C10368 -10.930 1.024 2.29064 548.735 362.802 15.4 -122.95007 -48.47873
N1C10369 -10.661 1.022 2.24841 552.809 363.601 15.2 -123.11700 -48.61440
N101036 -11.172 1.057 1.31252 512.012 342.938 -31.1 -123.10240 -48.08848
N1C10370 -10.653 1.015 2.36777 555.470 365.531 14.4 -122.95762 -48.60064
N1C10371 -10.986 1.019 2.41386 552.485 365.442 7.7 -122.96150 -48.46938
